# Wordlist

# DATA
ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE	SUBGROUP
4587	a t o q -	2264	fox	Chetilla	atoq	zorro	a t o q	atoq		quesada		Quechua
4588	q i t i - -	55	fox	Chipaya	qiti	zorro	q i t i	qiti			heggarty2005	Uru-Chipaya
4589	a t u χ -	2264	fox	Curva	atuχ	zorro	a t u χ	atuχ			heggarty2005	Quechua
4590	a t u χ -	2264	fox	Cuzco	atuχ	zorro	a t u χ	atuχ			heggarty2005	Quechua
4591	a t u k -	2264	fox	CuzquenoAntiguo	atok	zorro	a t u k	atok			holguin1608	Quechua
4592	a t u χ -	2264	fox	Huallaga	atuχ	zorro	a t u χ	atuχ			heggarty2005	Quechua
4593	a t u ʔ -	2264	fox	Huanca	atuq	zorro	a t u ʔ	atuq				Quechua
4594	q a m a q i	2266	fox	Huancane	qamaqi	zorro	q a m a q i	qamaqi			heggarty2005	Aymara
4595	a t o q -	2264	fox	Huangascar	atuq	zorro	a t o q	atuq			shimelman2017	Quechua
4596	a t o q -	2264	fox	HuarazHuailas	atoq	zorro	a t o q	atoq			parkerchavez1976	Quechua
4597	a ɲ a s	2267	fox	Imbabura	añas	zorro	a ɲ a s	añas			gomez2009	Quechua
4598	z o r o	2265	fox	Inkawasi	zorro	zorro	z o r o	zorro			heggarty2005	Quechua
4599	a t u q u	2264	fox	Jaqaru	atuqu	zorro	a t u q u	atuqu			heggarty2005	Aymara
4600	a t u q u	2264	fox	Kawki	atuqu	zorro	a t u q u	atuqu			heggarty2005	Aymara
4601	a t u k -	2264	fox	Lamas	atuk	zorro	a t u k	atuk			taylor2006	Quechua
4602	a t u χ -	2264	fox	Laraos	atuχ	zorro	a t u χ	atuχ			heggarty2005	Quechua
4603	a t o q -	2264	fox	Lincha-Tana	atuq	zorro	a t o q	atuq			shimelman2017	Quechua
4604	a t u χ -	2264	fox	Maragua	atuχ	zorro	a t u χ	atuχ			heggarty2005	Quechua
4605	a tʃ o χ -	2264	fox	Pacaraos	achuq	zorro	a tʃ o χ	achuq			adelaar1982	Quechua
4606	s u r u	2265	fox	Pastaza	suru	zorro	s u r u	suru			landerman1973	Quechua
4607	a t u χ -	2264	fox	Pocona	atuχ	zorro	a t u χ	atuχ			heggarty2005	Quechua
4608	q a m a q i	2266	fox	Puki	qamaqi	zorro	q a m a q i	qamaqi			heggarty2005	Aymara
4609	a t u χ -	2264	fox	Puno	atuχ	zorro	a t u χ	atuχ			heggarty2005	Quechua
4610	a t o q -	2264	fox	Raimondi	atoq	zorro	a t o q	atoq			parkerchavez1976	Quechua
4611	a t o q -	2264	fox	SanPedro	atuq	zorro	a t o q	atuq			shimelman2017	Quechua
4612	a t o χ -	2264	fox	Santiagueno	atoq	zorro	a t o χ	atoq			juanatey2021	Quechua
4613	a t o k -	2264	fox	SantoTomas	atoc	zorro	a t o k	atoc			santotomas1951	Quechua
4614	s a tʃ a - - + - a - ʎ k u	56 1109	fox	Serena	sača aλku	zorro	s a tʃ a + a ʎ k u	sača aλku			heggarty2005	Quechua
4615	q a m a q i	2266	fox	Sullkatiti	qamaqi	zorro	q a m a q i	qamaqi			heggarty2005	Aymara
4616	a t u χ -	2264	fox	Taquile	atuχ	zorro	a t u χ	atuχ			heggarty2005	Quechua
4617	a t o χ -	2264	fox	Tarma	atux	zorro	a t o χ	atux			adelaar1977	Quechua
4618	a t u x -	2264	fox	Troje	atux	zorro	a t u x	atux			heggarty2005	Quechua
4619	a t o q -	2264	fox	Wari	atoq	zorro	a t o q	atoq			parkerchavez1976	Quechua
4620	a t u q -	2264	fox	Yanac	atuq	zorro	a t u q	atuq			heggarty2005	Quechua
7457	a ɲ a s	2267	fox	Azuay	yalu, añas	zorro	a ɲ a s	añas		añas: zorro hediondo		
7563	j a l u	92	fox	Azuay	yalu, añas		j a l u	yalu				
7624	a t u ʔ -	2264	fox	Jauja	atuq		a t u ʔ	atuq				
#
755	h a n t a	2309	full	Anonimo	hanta	lleno	h a n t a	hanta, huntaʃca		llena coʃa	valera1586	Quechua
756	h u n t a + s̺ k a	2309	full	Anonimo	huntaʃca	lleno	h u n t a + s̺ k a	hanta, huntaʃca		llena coʃa	valera1586	Quechua
757	h u n t a	2309	full	Apuri	hunta	lleno	h u n t a	hunta			shimelman2017	Quechua
758	s a k s a s a	2314	full	Apuri	saksasa	lleno	s a k s a s a	saksasa			shimelman2017	Quechua
759	ʎ i n p a	2310	full	Apurimac	llinpa	lleno	ʎ i n p a	llinpa			camacho2007	Quechua
760	h u n t a	2309	full	Apurimac	huntay	lleno	h u n t a	huntay			camacho2007	Quechua
761	p a q a r -	117	full	Apurimac	paqar	lleno	p a q a r	paqar			camacho2007	Quechua
762	q a p - - a	2313	full	Apurimac	qapa	lleno	q a p a	qapa			camacho2007	Quechua
763	h u n t a	2309	full	Arma	hunta	lleno	h u n t a	hunta			galvez2003	Quechua
764	h u n t a	2309	full	Atalla	hunta	lleno	h u n t a	hunta			heggarty2005	Quechua
765	h u n t a	2309	full	Ayacucho	hunta	lleno	h u n t a	hunta			soto1976	Quechua
766	h u n d a	2309	full	Bobonaza	junda	lleno	h u n d a	junda			orrwrisley1981	Quechua
767	h u n t a	2309	full	Cacra-Hongos	hunta	lleno	h u n t a	hunta			shimelman2017	Quechua
768	s a k s a ʃ a	2314	full	Cacra-Hongos	saksasha	lleno	s a k s a ʃ a	saksasha			shimelman2017	Quechua
769	x u n d a	2309	full	Chachapoyas	junta	lleno	x u n d a	junta		verb,  to fill	taylor2006	Quechua
770	h u n t a	2309	full	Chacpar	hunta	lleno	h u n t a	hunta			heggarty2005	Quechua
771	- u n d a	2309	full	Chetilla	unda	lleno	u n d a	unda			heggarty2005	Quechua
772	ts i n a -	116	full	Chipaya	tsina	lleno	ts i n a	tsina; chhipi			heggarty2005	Uru-Chipaya
773	tʃ h i p i	2315	full	Chipaya	chhipi	lleno	tʃ h i p i	tsina; chhipi			heggarty2005	Uru-Chipaya
774	h u n tʼ a	2309	full	Curva	hunt'a	lleno	h u n tʼ a	hunt'a			heggarty2005	Quechua
775	h u n tʼ a	2309	full	Cuzco	hunt'a	lleno	h u n tʼ a	hunt'a			heggarty2005	Quechua
776	h u n t a + s k a	2309	full	CuzquenoAntiguo	huntaʃca	lleno	h u n t a + s k a	huntaʃca			holguin1608	Quechua
777	h u n t a	2309	full	Huallaga	hunta	lleno	h u n t a	hunta			heggarty2005	Quechua
778	h u n t a	2309	full	Huanca	hunta	lleno	h u n t a	hunta			cerron2018	Quechua
779	pʰ u qʰ a	2312	full	Huancane	phuqha	lleno	pʰ u qʰ a	phuqha			heggarty2005	Aymara
780	h u n t a	2309	full	Huangascar	hunta	lleno	h u n t a	hunta			shimelman2017	Quechua
781	s a k s a s a	2314	full	Huangascar	saksasa	lleno	s a k s a s a	saksasa			shimelman2017	Quechua
782	w i ɲ a j	2311	full	HuarazHuailas	winay	lleno	w i ɲ a j	winay			parkerchavez1976	Quechua
783	x u n d a	2309	full	Imbabura	junda	lleno	x u n d a	junda			gomez2009	Quechua
784	- u n d a	2309	full	Inkawasi	unda	lleno	u n d a	unda			heggarty2005	Quechua
785	pʰ u q a	2312	full	Jaqaru	phuqa	lleno	pʰ u q a	phuqa			heggarty2005	Aymara
786	pʰ u qʰ a	2312	full	Kawki	phuqha	lleno	pʰ u qʰ a	phuqha			heggarty2005	Aymara
787	x u n d a	2309	full	Lamas	junta	lleno	x u n d a	junta		verb,  to fill	taylor2006	Quechua
788	h u n t a	2309	full	Laraos	hunta	lleno	h u n t a	hunta			heggarty2005	Quechua
789	h u n t a	2309	full	Lincha-Tana	hunta	lleno	h u n t a	hunta			shimelman2017	Quechua
790	s a k s a ʃ a	2314	full	Lincha-Tana	saksasha	lleno	s a k s a ʃ a	saksasha			shimelman2017	Quechua
791	h u n tʼ a	2309	full	Maragua	hunt'a	lleno	h u n tʼ a	hunt'a			heggarty2005	Quechua
792	h u n d a	2309	full	Napo	junda	lleno	h u n d a	junda			orrwrisley1981	Quechua
793	x u n t a	2309	full	Pacaraos	hunta	lleno	x u n t a	hunta		forma rechazado por varios informantes; pos. esp?	adelaar1982	Quechua
794	- u n d a	2309	full	Pastaza	unda	lleno	u n d a	unda			landerman1973	Quechua
795	h u n tʼ a	2309	full	Pocona	hunt'a	lleno	h u n tʼ a	hunt'a			heggarty2005	Quechua
796	pʰ u qʰ a	2312	full	Puki	phuqha	lleno	pʰ u qʰ a	phuqha			heggarty2005	Aymara
797	h u n tʼ a	2309	full	Puno	hunt'a	lleno	h u n tʼ a	hunt'a			heggarty2005	Quechua
798	x u n d a	2309	full	Putumayo	junda	lleno	x u n d a	junda			tandioy1978	Quechua
799	w i ɲ a j	2311	full	Raimondi	winay	lleno	w i ɲ a j	winay			parkerchavez1976	Quechua
800	h u n t a	2309	full	SanPedro	hunta	lleno	h u n t a	hunta			shimelman2017	Quechua
801	s a k s a s a	2314	full	SanPedro	saksasa	lleno	s a k s a s a	saksasa			shimelman2017	Quechua
802	- u n t a	2309	full	Santiagueno	unta	lleno	u n t a	unta			juanatey2021	Quechua
804	p u χ a + n i	2312	full	SantoTomas	puxani	lleno	p u χ a + n i	apani, puxani		llenar	santotomas1951	Quechua
805	- u n d a + k t a	2309	full	Serena	undakta	lleno	u n d a + k t a	undakta			heggarty2005	Quechua
806	pʰ u qʰ a	2312	full	Sullkatiti	phuqha	lleno	pʰ u qʰ a	phuqha			heggarty2005	Aymara
807	h u n tʼ a	2309	full	Taquile	hunt'a	lleno	h u n tʼ a	hunt'a			heggarty2005	Quechua
808	χ o n t a	2309	full	Tarma	xunta	lleno	χ o n t a	xunta			adelaar1977	Quechua
809	h u n d a	2309	full	Troje	hunda	lleno	h u n d a	hunda			heggarty2005	Quechua
810	w i ɲ a j	2311	full	Wari	winay	lleno	w i ɲ a j	winay			parkerchavez1976	Quechua
811	- u n t a	2309	full	Yanac	unta	lleno	u n t a	unta			heggarty2005	Quechua
7521	h u n d a	2309	full	Azuay	junda	lleno	h u n d a	junda				
7625	h u n t a	2309	full	Jauja	hunta		h u n t a	hunta				
#
2614	k ɔ ( - ) + n i	2367	give, to	Anonimo	coni	dar	k ɔ + n i	coni			valera1586	Quechua
2615	q o ( - )	2367	give, to	Apuri	qu-	dar	q o	qu-			shimelman2017	Quechua
2616	q o ( - )	2367	give, to	Apurimac	qo	dar	q o	qo			camacho2007	Quechua
2617	χ u ( - )	2367	give, to	Arma	qu	dar	χ u	qu			galvez2003	Quechua
2618	χ u ( - )	2367	give, to	Atalla	χu.	dar	χ u	χu.			heggarty2005	Quechua
2619	χ o ( - )	2367	give, to	Ayacucho	qo	dar	χ o	qo			soto1976	Quechua
2620	k u ( - ) + n a	2367	give, to	Bobonaza	cuna	dar	k u + n a	cuna			orrwrisley1981	Quechua
2621	q o ( - )	2367	give, to	Cacra-Hongos	qu-	dar	q o	qu-			shimelman2017	Quechua
2622	k u ( - )	2367	give, to	Chachapoyas	ku	dar	k u	ku			taylor2006	Quechua
2623	ɢ u ( - )	2367	give, to	Chacpar	ġu.	dar	ɢ u	ġu.			heggarty2005	Quechua
2624	q u ( - )	2367	give, to	Chetilla	qu.	dar	q u	qu.			heggarty2005	Quechua
2625	i tʃ + z	239	give, to	Chipaya	ich.z	dar	i tʃ + z	ich.z			heggarty2005	Uru-Chipaya
2626	q u ( - )	2367	give, to	Curva	qu.	dar	q u	qu.			heggarty2005	Quechua
2627	q u ( - )	2367	give, to	Cuzco	qu.	dar	q u	qu.			heggarty2005	Quechua
2628	χ u ( - ) + n i	2367	give, to	CuzquenoAntiguo	ccuni	dar	χ u + n i	ccuni			holguin1608	Quechua
2629	q u ( - )	2367	give, to	Huallaga	qu.	dar	q u	qu.			heggarty2005	Quechua
2631	ʔ u ( - )	2367	give, to	Huanca	quy	dar	ʔ u	quy				Quechua
2632	tʃ u r a	2371	give, to	Huancane	čura.	dar	tʃ u r a	čura.			heggarty2005	Aymara
2633	q o ( - )	2367	give, to	Huangascar	qu-	dar	q o	qu-			shimelman2017	Quechua
2634	k u ( - )	2367	give, to	Imbabura	kuna	dar	k u + n a	kuna			gomez2009	Quechua
2635	q u ( - )	2367	give, to	Inkawasi	qu.	dar	q u	qu.			heggarty2005	Quechua
2636	j a k a	241	give, to	Jaqaru	yaka.	dar	j a k a	yaka.			heggarty2005	Aymara
2637	j a k a	241	give, to	Kawki	yaka.	dar	j a k a	yaka.			heggarty2005	Aymara
2638	k u ( - )	2367	give, to	Lamas	ku	dar	k u	ku			taylor2006	Quechua
2639	q u ( - )	2367	give, to	Laraos	qu.	dar	q u	qu.			heggarty2005	Quechua
2640	q o ( - )	2367	give, to	Lincha-Tana	qu-	dar	q o	qu-			shimelman2017	Quechua
2641	q u ( - )	2367	give, to	Maragua	qu.	dar	q u	qu.			heggarty2005	Quechua
2642	k u ( n ) + a	2367	give, to	Napo	cuna	dar	k u n + a	cuna			orrwrisley1981	Quechua
2643	χ o ( - )	2367	give, to	Pacaraos	qu	dar	χ o	qu			adelaar1982	Quechua
2644	k u ( - ) + n a	2367	give, to	Pastaza	cuna	dar	k u + n a	cuna			landerman1973	Quechua
2645	ɢ u ( - )	2367	give, to	Pocona	ġu.	dar	ɢ u	ġu.			heggarty2005	Quechua
2646	tʃ u r a	2371	give, to	Puki	čura.	dar	tʃ u r a	čura.			heggarty2005	Aymara
2647	q u ( - )	2367	give, to	Puno	qu.	dar	q u	qu.			heggarty2005	Quechua
2648	k a r a	240	give, to	Putumayo	caray	dar	k a r a	caray			tandioy1978	Quechua
2649	q o ( - )	2367	give, to	SanPedro	qu-	dar	q o	qu-			shimelman2017	Quechua
2650	q o ( - )	2367	give, to	Santiagueno	qoy	dar	q o	qoy			juanatey2021	Quechua
2651	k o ( - )	2367	give, to	SantoTomas	co	dar	k o	co		tb co	santotomas1951	Quechua
2652	k u ( - )	2367	give, to	Serena	ku.	dar	k u	ku.			heggarty2005	Quechua
2653	tʃ u r a	2371	give, to	Sullkatiti	čura.	dar	tʃ u r a	čura.			heggarty2005	Aymara
2654	q u ( - )	2367	give, to	Taquile	qu.	dar	q u	qu.			heggarty2005	Quechua
2655	χ o ( - )	2367	give, to	Tarma	xu	dar	χ o	xu			adelaar1977	Quechua
2656	k u ( - )	2367	give, to	Troje	ku.	dar	k u	ku.			heggarty2005	Quechua
2657	q u ( - )	2367	give, to	Yanac	qu.	dar	q u	qu.			heggarty2005	Quechua
7556	k u ( - ) + n a	2367	give, to	Azuay	ku-na	dar	k u + n a	ku-na				
7626	ʔ u ( - )	2367	give, to	Jauja	quy		ʔ u	quy				
#
1339	r i + n i	2413	go, to	Anonimo	rini ricuni	ir	r i + n i	rini ricuni			valera1586	Quechua
1340	ai w a	161	go, to	Apuri	aywa-	ir	ai w a	aywa-			shimelman2017	Quechua
1341	ɾ i	2413	go, to	Apuri	ri-	ir	ɾ i	ri-			shimelman2017	Quechua
1342	r i	2413	go, to	Apurimac	ri	ir	r i	ri			camacho2007	Quechua
1343	ɾ i	2413	go, to	Arma	ri	ir	ɾ i	ri			galvez2003	Quechua
1344	r i	2413	go, to	Atalla	ri.	ir	r i	ri.			heggarty2005	Quechua
1345	ɾ i	2413	go, to	Ayacucho	ri	ir	ɾ i	ri			soto1976	Quechua
1346	r i + n a	2413	go, to	Bobonaza	rina	ir	r i + n a	rina			orrwrisley1981	Quechua
1347	ai w a	161	go, to	Cacra-Hongos	aywa-	ir	ai w a	aywa-			shimelman2017	Quechua
1348	l i	2413	go, to	Cacra-Hongos	ri-	ir	l i	ri-			shimelman2017	Quechua
1349	r i	2413	go, to	Chachapoyas	ri	ir	r i	ri			taylor2006	Quechua
1350	e: w a	161	go, to	Chacpar	e:wa	ir	e: w a	e:wa			heggarty2005	Quechua
1351	r i	2413	go, to	Chetilla	ri	ir	r i	ri			heggarty2005	Quechua
1352	o qʰ + z	2416	go, to	Chipaya	oqh.z	ir	o qʰ + z	oqh.z			heggarty2005	Uru-Chipaya
1353	r i	2413	go, to	Curva	ri.	ir	r i	ri.			heggarty2005	Quechua
1354	r i	2413	go, to	Cuzco	ri.	ir	r i	ri.			heggarty2005	Quechua
1355	r i	2413	go, to	CuzquenoAntiguo	ri	ir	r i	ri			holguin1608	Quechua
1356	a w a	161	go, to	Huallaga	away	ir	a w a	away			heggarty2005	Quechua
1357	l i	2413	go, to	Huanca	liy	ir	l i	liy			cerron2018	Quechua
1358	ai w a	161	go, to	Jauja	ayway	ir	ai w a	ayway				Quechua
1360	s a r a	160	go, to	Huancane	sara.	ir	s a r a	sara.			heggarty2005	Aymara
1361	ai w a	161	go, to	Huangascar	aywa-	ir	ai w a	aywa-			shimelman2017	Quechua
1362	ɾ i	2413	go, to	Huangascar	ri-	ir	ɾ i	ri-			shimelman2017	Quechua
1363	ai w a	161	go, to	HuarazHuailas	ayway	ir	ai w a	ayway			parkerchavez1976	Quechua
1364	ɾ i + n a	2413	go, to	Imbabura	rina	ir	ɾ i + n a	rina			gomez2009	Quechua
1365	r i	2413	go, to	Inkawasi	ri.	ir	r i	ri., ři			heggarty2005	Quechua
1366	r̝ i	2413	go, to	Inkawasi	ři	ir	r̝ i	ri., ři			heggarty2005	Quechua
1367	m a x a	2419	go, to	Jaqaru	maxa.	ir	m a x a	maxa.			heggarty2005	Aymara
1368	m a x a	2419	go, to	Kawki	maxa.	ir	m a x a	maxa.			heggarty2005	Aymara
1369	r i	2413	go, to	Lamas	ri	ir	r i	ri			taylor2006	Quechua
1370	r i	2413	go, to	Laraos	ri	ir	r i	ri			heggarty2005	Quechua
1371	ai w a	161	go, to	Lincha-Tana	aywa-	ir	ai w a	aywa-			shimelman2017	Quechua
1372	l i	2413	go, to	Lincha-Tana	ri-	ir	l i	ri-			shimelman2017	Quechua
1373	r i	2413	go, to	Maragua	ri.	ir	r i	ri.			heggarty2005	Quechua
1374	r i + n a	2413	go, to	Napo	rina	ir	r i + n a	rina			orrwrisley1981	Quechua
1375	ɾ i	2413	go, to	Pacaraos	ri	ir	ɾ i	ri			adelaar1982	Quechua
1376	ɾ i + n a	2413	go, to	Pastaza	ɾina	ir	ɾ i + n a	ɾina			landerman1973	Quechua
1377	r i	2413	go, to	Pocona	ri.	ir	r i	ri.			heggarty2005	Quechua
1378	s a r a	160	go, to	Puki	sara.	ir	s a r a	sara.			heggarty2005	Aymara
1379	r i	2413	go, to	Puno	ri.	ir	r i	ri.			heggarty2005	Quechua
1380	r i	2413	go, to	Putumayo	ri	ir	r i	ri			tandioy1978	Quechua
1381	ai w a	161	go, to	Raimondi	ayway	ir	ai w a	ayway			parkerchavez1976	Quechua
1382	ai w a	161	go, to	SanPedro	aywa-	ir	ai w a	aywa-			shimelman2017	Quechua
1383	ɾ i	2413	go, to	SanPedro	ri-	ir	ɾ i	ri-			shimelman2017	Quechua
1384	ɾ iː	2413	go, to	Santiagueno	riy	ir	ɾ iː	riy			juanatey2021	Quechua
1385	r i + n i	2413	go, to	SantoTomas	rini	ir	r i + n i	rini			santotomas1951	Quechua
1386	r i	2413	go, to	Serena	ri.	ir	r i	ri.			heggarty2005	Quechua
1387	s a r a	160	go, to	Sullkatiti	sara.	ir	s a r a	sara.			heggarty2005	Aymara
1388	r i	2413	go, to	Taquile	ri.	ir	r i	ri.			heggarty2005	Quechua
1389	a w a	161	go, to	Tarma	away	ir	a w a	away			adelaar1977	Quechua
1390	r i	2413	go, to	Troje	ri	ir	r i	ri			heggarty2005	Quechua
1391	ai w a	161	go, to	Wari	ayway	ir	ai w a	ayway			parkerchavez1976	Quechua
1392	e: w a	161	go, to	Yanac	e:wa	ir	e: w a	e:wa			heggarty2005	Quechua
7408	r i + k u + n i	2413	go, to	Anonimo	rini ricuni		r i + k u + n i	rini ricuni			valera1586	
7532	ɾ i + n a	2413	go, to	Azuay	ri-na	ir	ɾ i + n a	ri-na				
#
6354	k ɔ r i	2470	gold	Anonimo	cori	oro	k ɔ r i	cori			valera1586	Quechua
6355	q o ʎ q e	226	gold	Apuri	qullqi	oro	q o ʎ q e	qullqi			shimelman2017	Quechua
6356	q o r i	2470	gold	Apurimac	qori	oro	q o r i	qori			camacho2007	Quechua
6357	χ u ɾ i	2470	gold	Arma	quri	oro	χ u ɾ i	quri			galvez2003	Quechua
6358	χ u r i	2470	gold	Atalla	χuri	oro	χ u r i	χuri			heggarty2005	Quechua
6359	χ o ɾ i	2470	gold	Ayacucho	qori	oro	χ o ɾ i	qori			soto1976	Quechua
6360	k u r i	2470	gold	Bobonaza	curi	oro	k u r i	curi			orrwrisley1981	Quechua
6361	q o ʎ q e	226	gold	Cacra-Hongos	qullqi	oro	q o ʎ q e	qullqi			shimelman2017	Quechua
6362	k u r i	2470	gold	Chachapoyas	kuri	oro	k u r i	kuri			taylor2006	Quechua
6363	q u r i	2470	gold	Chacpar	quri	oro	q u r i	quri			heggarty2005	Quechua
6364	q u r i	2470	gold	Chetilla	quri	oro	q u r i	quri			heggarty2005	Quechua
6365	qʰ u r i	2470	gold	Chipaya	qhuri	oro	qʰ u r i	qhuri			heggarty2005	Uru-Chipaya
6366	q u r i	2470	gold	Curva	quri	oro	q u r i	quri			heggarty2005	Quechua
6367	q u r i	2470	gold	Cuzco	quri	oro	q u r i	quri			heggarty2005	Quechua
6368	k u r i	2470	gold	CuzquenoAntiguo	cori	oro	k u r i	cori			holguin1608	Quechua
6369	q u r i	2470	gold	Huallaga	quri	oro	q u r i	quri			heggarty2005	Quechua
6371	h u l i	2470	gold	Huanca	huli	oro	h u l i	uli, huli			cerron2018	Quechua
6373	q u r i	2470	gold	Huancane	quri	oro	q u r i	quri			heggarty2005	Aymara
6374	q o ʎ q e	226	gold	Huangascar	qullqi	oro	q o ʎ q e	qullqi			shimelman2017	Quechua
6375	q o ɾ i	2470	gold	HuarazHuailas	qori	oro	q o ɾ i	qori			parkerchavez1976	Quechua
6376	k u ɾ i	2470	gold	Imbabura	kuri	oro	k u ɾ i	kuri			gomez2009	Quechua
6377	o r o	187	gold	Inkawasi	oro	oro	o r o	oro			heggarty2005	Quechua
6378	g iː s h a	2471	gold	Iruhito	gí:sha	oro	g iː s h a	gí:sha			cerron2016	Uru-Chipaya
6379	q u r i	2470	gold	Jaqaru	quri	oro	q u r i	quri			heggarty2005	Aymara
6380	o r o	187	gold	Kawki	oro	oro	o r o	oro			heggarty2005	Aymara
6381	k u r i	2470	gold	Lamas	kuri	oro	k u r i	kuri			taylor2006	Quechua
6382	o r o	187	gold	Laraos	oro	oro	o r o	oro			heggarty2005	Quechua
6383	q o ʎ q e	226	gold	Lincha-Tana	qullqi	oro	q o ʎ q e	qullqi			shimelman2017	Quechua
6384	q u r i	2470	gold	Maragua	quri	oro	q u r i	quri			heggarty2005	Quechua
6385	k u r i	2470	gold	Napo	curi	oro	k u r i	curi			orrwrisley1981	Quechua
6386	k u r i	2470	gold	Pastaza	curi	oro	k u r i	curi			landerman1973	Quechua
6387	ɢ u r i	2470	gold	Pocona	ġuri	oro	ɢ u r i	ġuri			heggarty2005	Quechua
6388	q u r i	2470	gold	Puki	quri	oro	q u r i	quri			heggarty2005	Aymara
6389	q u r i	2470	gold	Puno	quri	oro	q u r i	quri			heggarty2005	Quechua
6390	k u r i	2470	gold	Putumayo	curi	oro	k u r i	curi			tandioy1978	Quechua
6391	q o ɾ i	2470	gold	Raimondi	qori	oro	q o ɾ i	qori			parkerchavez1976	Quechua
6392	q o ʎ q e	226	gold	SanPedro	qullqi	oro	q o ʎ q e	qullqi			shimelman2017	Quechua
6393	q o ɾ i	2470	gold	Santiagueno	qori	oro	q o ɾ i	qori			juanatey2021	Quechua
6394	k o r i	2470	gold	SantoTomas	cori	oro	k o r i	cori, caya			santotomas1951	Quechua
6395	k a - j a	227	gold	SantoTomas	caya	oro	k a j a	cori, caya			santotomas1951	Quechua
6396	k u r i	2470	gold	Serena	kuri	oro	k u r i	kuri			heggarty2005	Quechua
6397	q u r i	2470	gold	Sullkatiti	quri	oro	q u r i	quri			heggarty2005	Aymara
6398	q u r i	2470	gold	Taquile	quri	oro	q u r i	quri			heggarty2005	Quechua
6399	χ oi ʎ u ʐ	6225	gold	Tarma	xuyl̃ur	oro	χ oi ʎ u ʐ	xuyl̃ur			adelaar1977	Quechua
6400	k u r i	2470	gold	Troje	kuri	oro	k u r i	kuri			heggarty2005	Quechua
6401	g iː s n a	2471	gold	Tsimu	gí:sna	oro	g iː s n a	gí:sna, gí:žna				Uru-Chipaya
6402	g iː ʂ n a	2471	gold	Tsimu	gí:žna	oro	g iː ʂ n a	gí:sna, gí:žna				Uru-Chipaya
6403	q o ɾ i	2470	gold	Wari	qori	oro	q o ɾ i	qori			parkerchavez1976	Quechua
6404	q u r i	2470	gold	Yanac	quri	oro	q u r i	quri			heggarty2005	Quechua
7489	k u ɾ i	2470	gold	Azuay	curi	oro	k u ɾ i	curi				
7709	q u r i	2470	gold	Jauja	curi		q u r i	curi				
#
7044	k a tʃ u	288	grass	Anonimo	cachu	hierba, pasto	k a tʃ u	cachu			valera1586	Quechua
7045	q e w a	212	grass	Apuri	qiwa	hierba, pasto	q e w a	qiwa			shimelman2017	Quechua
7046	q o r a	2522	grass	Apurimac	qora	hierba, pasto	q o r a	qora			camacho2007	Quechua
7047	χ u ɾ a	2522	grass	Arma	qura	hierba, pasto	χ u ɾ a	qura			galvez2003	Quechua
7048	χ u r a	2522	grass	Atalla	χura	hierba, pasto	χ u r a	χura			heggarty2005	Quechua
7049	χ o ɾ a	2522	grass	Ayacucho	qora	hierba, pasto	χ o ɾ a	qora			soto1976	Quechua
7050	k i w a	212	grass	Bobonaza	quihua	hierba, pasto	k i w a	quihua			orrwrisley1981	Quechua
7051	q e w a	212	grass	Cacra-Hongos	qiwa	hierba, pasto	q e w a	qiwa			shimelman2017	Quechua
7052	k i w a	212	grass	Chachapoyas	kiwa	hierba, pasto	k i w a	kiwa, waylla			taylor2006	Quechua
7053	w ai dʑ a	2529	grass	Chachapoyas	waylla	hierba, pasto	w ai dʑ a	kiwa, waylla			taylor2006	Quechua
7054	q u r a	2522	grass	Chacpar	qura	hierba, pasto	q u r a	qura			heggarty2005	Quechua
7055	q i w a	212	grass	Chetilla	qiwa	hierba, pasto	q i w a	qiwa			heggarty2005	Quechua
7056	tʃʼ oi ɲ a	2523	grass	Chipaya	ch'ojña	hierba, pasto	tʃʼ oi ɲ a	ch'ojña		, etc.	heggarty2005	Uru-Chipaya
7057	q u r a	2522	grass	Curva	qura	hierba, pasto	q u r a	qura			heggarty2005	Quechua
7058	q u r a	2522	grass	Cuzco	qura	hierba, pasto	q u r a	qura			heggarty2005	Quechua
7059	k a tʃʰ u	288	grass	CuzquenoAntiguo	cachhu	hierba, pasto	k a tʃʰ u	cachhu			holguin1608	Quechua
7060	tʃ u q u	2524	grass	Huallaga	čuqu	hierba, pasto	tʃ u q u	čuqu			heggarty2005	Quechua
7061	q u l a	2522	grass	Huanca	qula	hierba, pasto	q u l a	qula				Quechua
7063	h i w a	212	grass	Huanca	hiwa	hierba, pasto	h i w a	iwa, hiwa			cerron2018	Quechua
7067	q u r a	2522	grass	Huancane	qura	hierba, pasto	q u r a	qura			heggarty2005	Aymara
7068	q e w a	212	grass	Huangascar	qiwa	hierba, pasto	q e w a	qiwa			shimelman2017	Quechua
7069	p a s t u	2526	grass	HuarazHuailas	pastu	hierba, pasto	p a s t u	pastu			parkerchavez1976	Quechua
7070	x i w a	212	grass	Imbabura	jiwa	hierba, pasto	x i w a	jiwa			gomez2009	Quechua
7071	χ i w a	212	grass	Inkawasi	χiwa	hierba, pasto	χ i w a	χiwa			heggarty2005	Quechua
7072	j e r b a	2527	grass	Jaqaru	hierba	hierba, pasto	j e r b a	hierba			heggarty2005	Aymara
