DOCULECT	FORM	SOURCE
Huanca	itʃuŝ, itʃuʔ	cerron2018
Huancane	č'iqa	heggarty2005
Huangascar	ichuq	shimelman2017
HuarazHuailas	itsoq	parkerchavez1976
Imbabura	lluki	gomez2009
Inkawasi	ičuq	heggarty2005
Iruhito		cerron2016
Jaqaru	ĉ'iqa	heggarty2005
Kawki	ts'iq'a	heggarty2005
Lamas	lluki	taylor2006
Laraos	upa	heggarty2005
Lincha-Tana	ichuq	shimelman2017
Maragua	λuq'i	heggarty2005
Napo	lluqui	orrwrisley1981
Pacaraos		adelaar1982
Pastaza	lluqui	landerman1973
Pocona	λuq'i	heggarty2005
Puki	č'iqa	heggarty2005
Puno	λuq'i	heggarty2005
Putumayo	lluqui	tandioy1978
Raimondi	itsoq	parkerchavez1976
SanPedro	ichuq	shimelman2017
Santiagueno	lloqe	juanatey2021
SantoTomas	llucque maqui	santotomas1951
Serena	λuki	heggarty2005
Sullkatiti	č'iqa	heggarty2005
Taquile	λuq'i	heggarty2005
Tarma	ičux	adelaar1977
Troje	žuki	heggarty2005
Tsimu	huí:li halánta	cerron2016
Wari	itsoq	parkerchavez1976
Yanac	itsuq	heggarty2005
Anonimo	pacani	valera1586
Apuri	paka	shimelman2017
Apurimac	paka	camacho2007
Arma	paka	galvez2003
Atalla	paka.	heggarty2005
Ayacucho	paka, chinkachi	soto1976
Bobonaza	pacana	orrwrisley1981
Cacra-Hongos	paka	shimelman2017
Chachapoyas	paka	taylor2006
Chacpar	paka.	heggarty2005
Chetilla	paka.	heggarty2005
Chipaya	chhoj.z	heggarty2005
Curva	paka.	heggarty2005
Cuzco	paka.	heggarty2005
CuzquenoAntiguo	pacani	holguin1608
Huallaga	paka.	heggarty2005
Huanca	pakay	cerron2018
Huancane	ima.nta.	heggarty2005
Huangascar	paka	shimelman2017
HuarazHuailas	pakaay	parkerchavez1976
Imbabura	pakana	gomez2009
Inkawasi	paka.	heggarty2005
Iruhito		cerron2016
Jaqaru	im.kha.	heggarty2005
Kawki	im.kha.	heggarty2005
Lamas	paka	taylor2006
Laraos	paka.	heggarty2005
Lincha-Tana	paka	shimelman2017
Maragua	paka.	heggarty2005
Napo	pacana	orrwrisley1981
Pacaraos	paka	adelaar1982
Pastaza	pacana	landerman1973
Pocona	paka.	heggarty2005
Puki	ima.nta.	heggarty2005
Puno	paka.	heggarty2005
Putumayo	pacacuchi	tandioy1978
Raimondi	pakaay	parkerchavez1976
SanPedro	paka	shimelman2017
Santiagueno	pakay	juanatey2021
SantoTomas	pacachi	santotomas1951
Serena	paka.	heggarty2005
Sullkatiti	ima.nta.	heggarty2005
Taquile	paka.	heggarty2005
Tarma	paga	adelaar1977
Troje	paka.	heggarty2005
Tsimu		cerron2016
Wari	pakaay	parkerchavez1976
Yanac	paka.	heggarty2005
Anonimo	micuni	valera1586
Apuri	miku-	shimelman2017
Apurimac	manya	camacho2007
Apurimac	miju	camacho2007
Apurimac	qastu	camacho2007
Arma	miku	galvez2003
Atalla	mi.ku.	heggarty2005
Ayacucho	miku	soto1976
Bobonaza	micuna	orrwrisley1981
Cacra-Hongos	miku-	shimelman2017
Chachapoyas	miku	taylor2006
Chacpar	mi.ku.	heggarty2005
Chetilla	mi.ku.	heggarty2005
Chipaya	lul.z	heggarty2005
Curva	mi.khu.	heggarty2005
Cuzco	mi.xu.	heggarty2005
CuzquenoAntiguo	miccuni	holguin1608
Huallaga	mi.ku.	heggarty2005
Huanca	mikuy	cerron2018
Huanca	japʰapyay	cerron2018
Huanca	wapsuy	cerron2018
Huanca	tʃaptʃay	cerron2018
Huanca	laptay	cerron2018
Huancane	manq'a.	heggarty2005
Huangascar	miku-	shimelman2017
HuarazHuailas	mikuy	parkerchavez1976
Imbabura	mikuna	gomez2009
Inkawasi	mi.ku.	heggarty2005
Iruhito	luχ	cerron2016
Jaqaru	palu.	heggarty2005
Kawki	palu.	heggarty2005
Lamas	miku	taylor2006
Laraos	mi.ku.	heggarty2005
Lincha-Tana	miku-	shimelman2017
Maragua	mi.khu.	heggarty2005
Napo	micuna	orrwrisley1981
Pacaraos	miku, mika	adelaar1982
Pastaza	micuna	landerman1973
Pocona	mi.khu.	heggarty2005
Puki	maq'a.	heggarty2005
Puno	mi.khu.	heggarty2005
Putumayo	micuy	tandioy1978
Raimondi	mikuy	parkerchavez1976
SanPedro	miku-	shimelman2017
Santiagueno	mikuy	juanatey2021
SantoTomas	micuni	santotomas1951
Serena	mi.ku.	heggarty2005
Sullkatiti	manq'a.	heggarty2005
Taquile	mi.khu.	heggarty2005
Tarma	miku	adelaar1977
Troje	mi.ku.	heggarty2005
Tsimu	luχ	cerron2016
Wari	mikuy	parkerchavez1976
Yanac	mi.ku.	heggarty2005
Anonimo	vpiani, vpiacuni	valera1586
Apuri	upya	shimelman2017
Apurimac	upya	camacho2007
Arma	upu, upya	galvez2003
Atalla	upya.	heggarty2005
Ayacucho	upu, upya	soto1976
Bobonaza	upina	orrwrisley1981
Cacra-Hongos	upya	shimelman2017
Chachapoyas	upya	taylor2006
Chacpar	upu.	heggarty2005
Chetilla	upya.	heggarty2005
Chipaya	lik.z	heggarty2005
Curva	upya.	heggarty2005
Cuzco	uxya.	heggarty2005
CuzquenoAntiguo	vpiyani	holguin1608
Huallaga	upu.	heggarty2005
Huanca	upyay	cerron2018
Huanca	upuy	cerron2018
Huanca	laklay	cerron2018
Huancane	uma.	heggarty2005
Huangascar	upya	shimelman2017
HuarazHuailas	beber	parkerchavez1976
Imbabura	ufiana	gomez2009
Inkawasi	upya.	heggarty2005
Iruhito		cerron2016
Jaqaru	uma.	heggarty2005
Kawki	uma.	heggarty2005
Lamas	upya	taylor2006
Laraos	upya.	heggarty2005
Lincha-Tana	upya	shimelman2017
Maragua	uxya.	heggarty2005
Napo	upina	orrwrisley1981
Pacaraos	upya, upu	adelaar1982
Pastaza	upyana	landerman1973
Pocona	uxya.	heggarty2005
Puki	uma.	heggarty2005
Puno	uxa.	heggarty2005
Putumayo	upia	tandioy1978
Raimondi	upyay	parkerchavez1976
SanPedro	upya	shimelman2017
Santiagueno	upyay	juanatey2021
SantoTomas	vpiani, vpiacuni	santotomas1951
Serena	upi.	heggarty2005
Sullkatiti	uma.	heggarty2005
Taquile	upya.	heggarty2005
Tarma	upya	adelaar1977
Troje	ubya.	heggarty2005
Tsimu		cerron2016
Wari	upyay	parkerchavez1976
Yanac	upya.	heggarty2005
Anonimo	canini	valera1586
Apuri	kani-	shimelman2017
Apurimac	kachu, qachu, kamu, kani	camacho2007
Arma	kachu, kani	galvez2003
Atalla	kača.	heggarty2005
Ayacucho	kachu	soto1976
Bobonaza	canina	orrwrisley1981
Cacra-Hongos	kani-	shimelman2017
Chachapoyas	kani	taylor2006
Chacpar	kani.	heggarty2005
Chetilla	kani.	heggarty2005
Chipaya	tr'at.z	heggarty2005
Curva	kani.	heggarty2005
Cuzco	kani.	heggarty2005
CuzquenoAntiguo	canini	holguin1608
Huallaga	kañi.	heggarty2005
Huanca	kaniy	cerron2018
Huanca	katruy	cerron2018
Huanca	waʔsuy	cerron2018
Huancane	aču.qa.	heggarty2005
Huangascar	kani-	shimelman2017
HuarazHuailas	aniy	parkerchavez1976
Imbabura	kanina	gomez2009
Inkawasi	kani.	heggarty2005
Iruhito		cerron2016
Jaqaru	hawč'i.	heggarty2005
Kawki	hawč'i.	heggarty2005
Lamas	kani	taylor2006
Laraos	kaĉu.	heggarty2005
Lincha-Tana	kani-	shimelman2017
Maragua	kani.	heggarty2005
Napo	canina	orrwrisley1981
Pacaraos	kani	adelaar1982
Pastaza	canina	landerman1973
Pocona	kani.	heggarty2005
Puki	turu.t'a.	heggarty2005
Puno	kani.	heggarty2005
Putumayo	cani	tandioy1978
Raimondi	aniy	parkerchavez1976
SanPedro	kani-	shimelman2017
Santiagueno	kaniy	juanatey2021
SantoTomas	camini	santotomas1951
Serena	kani.	heggarty2005
Sullkatiti	p'ata.	heggarty2005
Taquile	kani.	heggarty2005
Tarma	kaĉu	adelaar1977
Troje	kani.	heggarty2005
Tsimu		cerron2016
Wari		parkerchavez1976
Yanac	kani.	heggarty2005
Anonimo	chomcani	valera1586
Apuri	shuqu	shimelman2017
Apurimac	chonqa	camacho2007
Arma	suqu	galvez2003
Atalla	suχu.	heggarty2005
Ayacucho	soqo	soto1976
Bobonaza	chupana	orrwrisley1981
Cacra-Hongos	shuqu	shimelman2017
Chachapoyas	shuku	taylor2006
Chacpar	šuqu.	heggarty2005
Chetilla	čupa.	heggarty2005
Chipaya		heggarty2005
Curva	č'u.nqa.	heggarty2005
Cuzco	č'u.nqa.	heggarty2005
CuzquenoAntiguo	chhumccani	holguin1608
Huallaga	šuqu.	heggarty2005
Huanca	ñuñuy	cerron2018
Huancane	č'u.mu.	heggarty2005
Huangascar	shuqu	shimelman2017
HuarazHuailas	mamar	parkerchavez1976
Imbabura	chupana	gomez2009
Inkawasi	šuγu.	heggarty2005
Iruhito		cerron2016
Jaqaru	šuq'u.	heggarty2005
Kawki	šuq'u.	heggarty2005
Lamas	shuku	taylor2006
Laraos	šuqu.	heggarty2005
Lincha-Tana	shuqu	shimelman2017
Maragua	č'u.nqa.	heggarty2005
Napo	tsungana	orrwrisley1981
Pacaraos	shuqu	adelaar1982
Pastaza	chupana	landerman1973
Pastaza	tsungana	landerman1973
Pastaza	chuchuna	landerman1973
Pocona	č'u.nγa.	heggarty2005
Puki	č'u.ma.	heggarty2005
Puno	č'u.nqa.	heggarty2005
Putumayo	chuchuri	tandioy1978
Raimondi	shoquy	parkerchavez1976
SanPedro	shuqu	shimelman2017
Santiagueno	chonqay, ñuñuy	juanatey2021
SantoTomas	ch’unqa, ch’umqa, suq’uni	santotomas1951
Serena	tsu.nga.	heggarty2005
Sullkatiti	č'a.mu.	heggarty2005
Taquile	č'u.nqa.	heggarty2005
Tarma	šuxu	adelaar1977
Troje	ču.ču.	heggarty2005
Tsimu		cerron2016
Wari	shoquy	parkerchavez1976
Yanac	šuqu.	heggarty2005
Anonimo	llachuani	valera1586
Apuri	llaqwa-	shimelman2017
Apurimac	llaqwa, lawqa	camacho2007
Arma	llaqwa	galvez2003
Atalla	λaχwa.	heggarty2005
Ayacucho	llaqwa, lampi	soto1976
Bobonaza	llaucana	orrwrisley1981
Cacra-Hongos	llaqwa-	shimelman2017
Chachapoyas	llakwa	taylor2006
Chacpar	λaqwa.	heggarty2005
Chetilla	dyaqwa.	heggarty2005
Chipaya	is.z; isis.z	heggarty2005
Curva	λaqwa.	heggarty2005
Cuzco	λaχwa.	heggarty2005
CuzquenoAntiguo	llakhuani	holguin1608
Huallaga	λaqwa.	heggarty2005
Huanca	llaʔway	cerron2018
Huancane	haλq'a.	heggarty2005
Huangascar	llaqwa-	shimelman2017
HuarazHuailas	laqway	parkerchavez1976
Imbabura	lambina	gomez2009
Inkawasi	žaχwa.	heggarty2005
Iruhito		cerron2016
Jaqaru	haλpi.	heggarty2005
Kawki	haλpa.	heggarty2005
Lamas	llakwa	taylor2006
Laraos	λaqwa.	heggarty2005
Lincha-Tana	llaqwa-	shimelman2017
Maragua	λaqwa.	heggarty2005
Napo	llaucana	orrwrisley1981
Pacaraos	laqwa	adelaar1982
Pastaza	lawcana	landerman1973
Pocona	λaqwa.	heggarty2005
Puki	haλq'a.	heggarty2005
Puno	λaχwa.	heggarty2005
Putumayo	llacuay	tandioy1978
Raimondi	laqway	parkerchavez1976
SanPedro	llaqwa-	shimelman2017
Santiagueno	llaqway	juanatey2021
SantoTomas	llacuani	santotomas1951
Serena	λawka.	heggarty2005
Sullkatiti	haλq'a.	heggarty2005
Taquile	λaχwa.	heggarty2005
Tarma	laxwa	adelaar1977
Troje	lambi.	heggarty2005
Tsimu		cerron2016
Wari	laqway	parkerchavez1976
Yanac	laqwa.	heggarty2005
Anonimo	tocani	valera1586
Apuri	aqtu-	shimelman2017
Apuri	tuqa-	shimelman2017
Apurimac		camacho2007
Arma	tuqa	galvez2003
Atalla	tuχa.	heggarty2005
Ayacucho	toqa	soto1976
Bobonaza	tiucana	orrwrisley1981
Cacra-Hongos	aqtu-	shimelman2017
Cacra-Hongos	tuqa-	shimelman2017
Chachapoyas	tuka	taylor2006
Chacpar	tuqa.	heggarty2005
Chetilla	tuγa.	heggarty2005
Chipaya	thujt.z	heggarty2005
Curva	thuqa.	heggarty2005
Cuzco	thuqa.	heggarty2005
CuzquenoAntiguo	ttoccani	holguin1608
Huallaga	tuqa.	heggarty2005
Huanca	tuʔay	cerron2018
Huancane	thusa.	heggarty2005
Huangascar	aqtu-	shimelman2017
Huangascar	tuqa-	shimelman2017
HuarazHuailas	toqay	parkerchavez1976
Imbabura	tukana	gomez2009
Inkawasi	tuγa.	heggarty2005
Iruhito		cerron2016
Jaqaru	thusu.	heggarty2005
Kawki	čusa.	heggarty2005
Lamas	tuka	taylor2006
Laraos	tuqa.	heggarty2005
Lincha-Tana	aqtu-	shimelman2017
Lincha-Tana	tuqa-	shimelman2017
Maragua	thuqa.	heggarty2005
Napo	tiucana	orrwrisley1981
Pacaraos	tuqa	adelaar1982
Pastaza	tyucana	landerman1973
Pocona	thuγa.	heggarty2005
Puki	thusa.	heggarty2005
Puno	thuqa.	heggarty2005
Putumayo	tuca	tandioy1978
Raimondi	toqay	parkerchavez1976
SanPedro	aqtu-	shimelman2017
SanPedro	tuqa-	shimelman2017
Santiagueno	toqay	juanatey2021
SantoTomas	tucani	santotomas1951
Serena	tyuka.	heggarty2005
Sullkatiti	thusa.	heggarty2005
Taquile	thuqa.	heggarty2005
Tarma	tuxa	adelaar1977
Troje	čuka.	heggarty2005
Tsimu		cerron2016
Wari	toqay	parkerchavez1976
Yanac	tuqa.	heggarty2005
Anonimo	puñuni	valera1586
Apuri	puñu-	shimelman2017
Apurimac	puñu	camacho2007
Arma	puñu	galvez2003
Atalla	puñu.	heggarty2005
Ayacucho	puñu	soto1976
Bobonaza	puñuna	orrwrisley1981
Cacra-Hongos	puñu-	shimelman2017
Chachapoyas	puñu	taylor2006
Chacpar	punu.	heggarty2005
Chetilla	puñu.	heggarty2005
Chipaya	thaj.z	heggarty2005
Curva	puñu.	heggarty2005
Cuzco	puñu.	heggarty2005
CuzquenoAntiguo	puñuni	holguin1608
Huallaga	puñu.	heggarty2005
Huanca	puñuy	cerron2018
Huancane	iki.	heggarty2005
Huangascar	puñu-	shimelman2017
HuarazHuailas	punuy	parkerchavez1976
Imbabura	puñuna	gomez2009
Inkawasi	punu.	heggarty2005
Iruhito		cerron2016
Jaqaru	iki.	heggarty2005
Kawki	iki.	heggarty2005
Lamas	puñu	taylor2006
Laraos	puñu.	heggarty2005
Lincha-Tana	puñu-	shimelman2017
Maragua	puñu.	heggarty2005
Napo	puñuna	orrwrisley1981
Pacaraos	puñu	adelaar1982
Pastaza	puñuna	landerman1973
Pocona	puñu.	heggarty2005
Puki	iki.	heggarty2005
Puno	puñu.	heggarty2005
Putumayo	puñu	tandioy1978
Raimondi	punuy	parkerchavez1976
SanPedro	puñu-	shimelman2017
Santiagueno	puñuy	juanatey2021
SantoTomas	puñucuni, pachacuni	santotomas1951
Serena	puñu.	heggarty2005
Sullkatiti	iki.	heggarty2005
Taquile	puñu.	heggarty2005
Tarma	punu	adelaar1977
Troje	puñu.	heggarty2005
Tsimu		cerron2016
Wari	punuy	parkerchavez1976
Yanac	puñu.	heggarty2005
Anonimo	cauçani	valera1586
Apuri	kawsa-	shimelman2017
Apuri	yatra-	shimelman2017
Apurimac	kawsa	camacho2007
Arma	kawsa	galvez2003
Atalla	kawsa.	heggarty2005
Ayacucho	kawsa	soto1976
Bobonaza	causana	orrwrisley1981
Cacra-Hongos	kawsa-	shimelman2017
Cacra-Hongos	yatra-	shimelman2017
Chachapoyas	kawsa	taylor2006
Chacpar	kawa.	heggarty2005
Chetilla	kawsa.	heggarty2005
Chipaya	zhet-z	heggarty2005
Curva	kawsa.	heggarty2005
Cuzco	kawsa.	heggarty2005
CuzquenoAntiguo	cauçay	holguin1608
Huallaga	kawa.	heggarty2005
Huanca	kawsay	cerron2018
Huancane	haka.	heggarty2005
Huangascar	kawsa-	shimelman2017
Huangascar	yatra-	shimelman2017
HuarazHuailas	kaway	parkerchavez1976
Imbabura	kawsana	gomez2009
Inkawasi	kawsa.	heggarty2005
Iruhito		cerron2016
Jaqaru	haka.	heggarty2005
Kawki	haka.	heggarty2005
Lamas	kawsa	taylor2006
Laraos	kawsa.	heggarty2005
Lincha-Tana	kawsa-	shimelman2017
Lincha-Tana	yatra-	shimelman2017
Maragua	kawsa.	heggarty2005
Napo	causana	orrwrisley1981
Pacaraos	kawa	adelaar1982
Pastaza	cawsana	landerman1973
Pocona	kawsa.	heggarty2005
Puki	haka.	heggarty2005
Puno	kawsa.	heggarty2005
Putumayo	caugsa, tiacu	tandioy1978
Raimondi	kaway	parkerchavez1976
SanPedro	kawsa-	shimelman2017
SanPedro	yatra-	shimelman2017
Santiagueno	kawsay	juanatey2021
SantoTomas	cauçani	santotomas1951
Serena	kawsa.	heggarty2005
Sullkatiti	haka.	heggarty2005
Taquile	kawsa.	heggarty2005
Tarma	kawa	adelaar1977
Troje	kawsa.	heggarty2005
Tsimu		cerron2016
Wari	kaway	parkerchavez1976
Yanac	kawa.	heggarty2005
Anonimo	huañuy	valera1586
Apuri	wañu-	shimelman2017
Apurimac	wañu	camacho2007
Arma	wañu	galvez2003
Atalla	wañu.	heggarty2005
Ayacucho	wañu	soto1976
Bobonaza	huañuna	orrwrisley1981
Cacra-Hongos	wañu-	shimelman2017
Chachapoyas	wañu	taylor2006
Chacpar	wanu.	heggarty2005
Chetilla	wañu.	heggarty2005
Chipaya	tik.z; zerwí.z	heggarty2005
Curva	wañu.	heggarty2005
Cuzco	wañu.	heggarty2005
CuzquenoAntiguo	huañuni	holguin1608
Huallaga	wañu.	heggarty2005
Huanca	wañuy	cerron2018
Huancane	hiwa.	heggarty2005
Huangascar	wañu-	shimelman2017
HuarazHuailas	wanuy	parkerchavez1976
Imbabura	wañuna	gomez2009
Inkawasi	wanu.	heggarty2005
Iruhito		cerron2016
Jaqaru	hiwa.	heggarty2005
Kawki	hiwa.	heggarty2005
Lamas	wañu	taylor2006
Laraos	wañu.	heggarty2005
Lincha-Tana	wañu-	shimelman2017
Maragua	wañu.	heggarty2005
Napo	huañuna	orrwrisley1981
Pacaraos	wañu-ku	adelaar1982
Pastaza	wañuna	landerman1973
Pocona	wañu.	heggarty2005
Puki	hiwa.	heggarty2005
Puno	wañu.	heggarty2005
Putumayo	chingari, huañu	tandioy1978
Raimondi	wanuy	parkerchavez1976
SanPedro	wañu-	shimelman2017
Santiagueno	wañuy	juanatey2021
SantoTomas	guañuni	santotomas1951
Serena	wañu.	heggarty2005
Sullkatiti	hiwa.	heggarty2005
Taquile	wañu.	heggarty2005
Tarma	wanu	adelaar1977
Troje	wañu.	heggarty2005
Tsimu		cerron2016
Wari	wanuy	parkerchavez1976
Yanac	wañu.	heggarty2005
Anonimo	ñocanchic	valera1586
Apuri	nuqanchik	shimelman2017
Apurimac	ñoqanchis	camacho2007
Arma	ñuqanchik	galvez2003
Atalla	ñuχa.n.čik	heggarty2005
Ayacucho	ñoqanchik	soto1976
Bobonaza	ñucanchi	orrwrisley1981
Cacra-Hongos	ñuqanchik	shimelman2017
Chachapoyas	ñukanchi	taylor2006
Chacpar	nuqa.n.tsiχ	heggarty2005
Chetilla	nuγa.n.džiγ	heggarty2005
Chipaya	utrum, utrun	heggarty2005
Curva	ñuqa.n.čis	heggarty2005
Cuzco	nuqa.n.čis	heggarty2005
CuzquenoAntiguo	ñocanchic	holguin1608
Huallaga	nuqa.n.či	heggarty2005
Huanca	   	cerron2018
Huancane	hiwa.sa	heggarty2005
Huangascar	ñuqanchik	shimelman2017
HuarazHuailas	noqantsi	parkerchavez1976
Imbabura	ñukanchik	gomez2009
Inkawasi	nuγa.n.či	heggarty2005
Iruhito		cerron2016
Jaqaru	hiw.sa	heggarty2005
Kawki	hiw.sa	heggarty2005
Lamas	ñukanchi	taylor2006
Laraos	nuqa.n.čik	heggarty2005
Lincha-Tana	ñuqanchik	shimelman2017
Maragua	nuqa.n.čis	heggarty2005
Napo	ñucanchi	orrwrisley1981
Pacaraos	ñuqansi	adelaar1982
Pastaza	nucanchi	landerman1973
Pocona	nuγa.n.čiχ	heggarty2005
Puki	hiwa.sa	heggarty2005
Puno	nuqa.n.čis	heggarty2005
Putumayo	nucanchi	tandioy1978
Raimondi	noqantsi	parkerchavez1976
SanPedro	ñuqanchik	shimelman2017
Santiagueno	noqaysh	juanatey2021
SantoTomas	ñocanchic	santotomas1951
Serena	ñuka.n.či	heggarty2005
Sullkatiti	hiwa.sa	heggarty2005
Taquile	ñuqa.n.čis	heggarty2005
Tarma	nuxañči, nuxañčik	adelaar1977
Troje	ñuka.n.čix	heggarty2005
Tsimu		cerron2016
Wari	noqantsi	parkerchavez1976
Yanac	ñuqa.n.tsik	heggarty2005
Anonimo	ricuni, cahuani	valera1586
Apuri	qawa-	shimelman2017
Apuri	rika-	shimelman2017
Apurimac	qawa	camacho2007
Apurimac	riku	camacho2007
Arma	qawa, riku	galvez2003
Atalla	ri.ku.	heggarty2005
Ayacucho	qawa, riku	soto1976
Bobonaza	ricuna	orrwrisley1981
Cacra-Hongos	qawa-	shimelman2017
Cacra-Hongos	rika-	shimelman2017
Chachapoyas	kawa, riku	taylor2006
Chacpar	ri.ka.	heggarty2005
Chetilla	ri.ka.	heggarty2005
Chipaya	cher.z	heggarty2005
Curva	ri.ku.	heggarty2005
Cuzco	ri.ku.	heggarty2005
CuzquenoAntiguo	ricuni, cahuani	holguin1608
Huallaga	ri.ka.	heggarty2005
Huanca	likay	cerron2018
Huanca	itʃʔapay, hitʃʔapay	cerron2018
Huancane	uñ, (uñ.xa.)	heggarty2005
Huangascar	qawa-	shimelman2017
Huangascar	rika-	shimelman2017
HuarazHuailas	rikay	parkerchavez1976
Imbabura	rikuna	gomez2009
Inkawasi	ri.ka.	heggarty2005
Iruhito		cerron2016
Jaqaru	iλa.	heggarty2005
Kawki	iλa.	heggarty2005
Lamas	kawa, riku	taylor2006
Laraos	ri.ka.	heggarty2005
Lincha-Tana	qawa-	shimelman2017
Lincha-Tana	rika-	shimelman2017
Maragua	ri.ku.	heggarty2005
Napo	ricuna	orrwrisley1981
Pacaraos	rika	adelaar1982
Pastaza	ɾicuna	landerman1973
Pocona	ri.ku.	heggarty2005
Puki	iña,  (iñ.xa.)	heggarty2005
Puno	ri.ku.	heggarty2005
Putumayo	cahua	tandioy1978
Raimondi	rikay	parkerchavez1976
SanPedro	qawa-	shimelman2017
SanPedro	rika-	shimelman2017
Santiagueno	qaay	juanatey2021
SantoTomas	ricuni, cauani	santotomas1951
Serena	ri.ku.	heggarty2005
Sullkatiti	uñ,  (uñ.xa.)	heggarty2005
Taquile	ri.ku.	heggarty2005
Tarma	riga	adelaar1977
Troje	ři.ku.	heggarty2005
Tsimu		cerron2016
Wari	rikay	parkerchavez1976
Yanac	ri.ka.	heggarty2005
Anonimo	vyarini, vyaricuni 	valera1586
Apuri	uyari	shimelman2017
Apurimac		camacho2007
Arma		galvez2003
Atalla	uya.ri.	heggarty2005
Ayacucho	uyari	soto1976
Bobonaza	uyana	orrwrisley1981
Cacra-Hongos	uyari	shimelman2017
Chachapoyas	wiyari	taylor2006
Chacpar	wiya.	heggarty2005
Chetilla	uya.	heggarty2005
Chipaya	non.z	heggarty2005
Curva	uya.ri.	heggarty2005
Cuzco	uya.ri.	heggarty2005
CuzquenoAntiguo	vyarini 	holguin1608
Huallaga	wiya.	heggarty2005
Huanca	uyaliy	cerron2018
Huancane	is.t'a.	heggarty2005
Huangascar	uyari	shimelman2017
HuarazHuailas	wiyay	parkerchavez1976
Imbabura	uyana	gomez2009
Inkawasi	uya.	heggarty2005
Iruhito		cerron2016
Jaqaru	iša.pa.	heggarty2005
Kawki	iš(a).pa.	heggarty2005
Lamas	uyari	taylor2006
Laraos	uya.ri.	heggarty2005
Lincha-Tana	uyari	shimelman2017
Maragua	uya.ri.	heggarty2005
Napo	uyana	orrwrisley1981
Pacaraos	uya	adelaar1982
Pastaza	uyana	landerman1973
Pocona	uya.ri.	heggarty2005
Puki	is.t'a.	heggarty2005
Puno	uya.ri.	heggarty2005
Putumayo	uya	tandioy1978
Raimondi	wiyay	parkerchavez1976
SanPedro	uyari	shimelman2017
Santiagueno	uyariy	juanatey2021
SantoTomas	oya	santotomas1951
Serena	uya.	heggarty2005
Sullkatiti	is.t'a.	heggarty2005
Taquile	uya.ri.	heggarty2005
Tarma	uya	adelaar1977
Troje	uya.	heggarty2005
Tsimu		cerron2016
Wari	wiyay	parkerchavez1976
Yanac	wiya.	heggarty2005
Anonimo	yachani 	valera1586
Apuri	yatra-	shimelman2017
Apurimac	yacha	camacho2007
Arma	yacha	galvez2003
Atalla	yača.	heggarty2005
Ayacucho	yacha	soto1976
Bobonaza	yachana	orrwrisley1981
Cacra-Hongos	yatra-	shimelman2017
Chachapoyas	yaĉa	taylor2006
Chacpar	yača.	heggarty2005
Chetilla	yaĉa.	heggarty2005
Chipaya	zi.z	heggarty2005
Curva	yača.	heggarty2005
Cuzco	yača.	heggarty2005
CuzquenoAntiguo	yachani 	holguin1608
Huallaga	yača.	heggarty2005
Huanca	yatray	cerron2018
Huanca	lisʔiy	cerron2018
Huancane	yati.	heggarty2005
Huangascar	yatra-	shimelman2017
HuarazHuailas	yachay	parkerchavez1976
Imbabura	yachana	gomez2009
Inkawasi	yaĉa.	heggarty2005
Iruhito		cerron2016
Jaqaru	yatyi.	heggarty2005
Kawki	yatyi.	heggarty2005
Lamas	yacha	taylor2006
Laraos	yaĉa.	heggarty2005
Lincha-Tana	yatra-	shimelman2017
Maragua	yača.	heggarty2005
Napo	yachana	orrwrisley1981
Pacaraos	yatra, riqi	adelaar1982
Pastaza	yachana	landerman1973
Pocona	yača.	heggarty2005
Puki	yati.	heggarty2005
Puno	yača.	heggarty2005
Putumayo	yacha	tandioy1978
Raimondi	yachay	parkerchavez1976
SanPedro	yatra-	shimelman2017
Santiagueno	yachay	juanatey2021
SantoTomas	yachani	santotomas1951
Serena	yača.	heggarty2005
Sullkatiti	yati.	heggarty2005
Taquile	yača.	heggarty2005
Tarma	yaĉa	adelaar1977
Troje	yača.	heggarty2005
Tsimu		cerron2016
Wari	yachay	parkerchavez1976
Yanac	yaĉa.	heggarty2005
Anonimo	yuyani 	valera1586
Apuri		shimelman2017
Apurimac	hamuta	camacho2007
Arma	yuya	galvez2003
Atalla	yuya.	heggarty2005
Ayacucho	yuya	soto1976
Bobonaza	yuyana	orrwrisley1981
Cacra-Hongos		shimelman2017
Chachapoyas	yuya	taylor2006
Chacpar	yarpa.	heggarty2005
Chetilla	yuya.	heggarty2005
Chipaya	lap'i.zí.z	heggarty2005
Curva	yarpa.	heggarty2005
Cuzco	yuya.	heggarty2005
CuzquenoAntiguo	yuyani 	holguin1608
Huallaga	yarpa.	heggarty2005
Huanca	yaynitʃakuy, yaynikatray	cerron2018
Huanca	umatʃakuy	cerron2018
Huancane	amuy.t'a.	heggarty2005
Huangascar		shimelman2017
HuarazHuailas	pensar (cogitar)	parkerchavez1976
Imbabura	yuyana	gomez2009
Inkawasi	yarbu.	heggarty2005
Iruhito		cerron2016
Jaqaru	yuya.	heggarty2005
Kawki	yuya.	heggarty2005
Lamas	yuya	taylor2006
Laraos	yarpa.	heggarty2005
Lincha-Tana		shimelman2017
Maragua	t'uku.	heggarty2005
Napo	yuyana	orrwrisley1981
Pacaraos	yarpa	adelaar1982
Pastaza	yuyarina	landerman1973
Pocona	t'uku.	heggarty2005
Puki	amuy.t'a.	heggarty2005
Puno	yuya.	heggarty2005
Putumayo	yuya	tandioy1978
