ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	BORROWING	SOURCE	SUBGROUP
2261		n o χ a ɲ tʃ i -	7301	we (inclusive)	Tarma	nuxañči	n o χ a ɲ tʃ i		adelaar1977	Quechua
2262		n o χ a ɲ tʃ i k	7301	we (inclusive)	Tarma	nuxañčik	n o χ a ɲ tʃ i k		adelaar1977	Quechua
2263		ɲ u k a n tʃ i x	7301	we (inclusive)	Troje	ñuka.n.čix	ɲ u k a n tʃ i x		heggarty2005	Quechua
2264		ɲ o q a ɲ ts i -	7301	we (inclusive)	Wari	noqantsi	ɲ o q a ɲ ts i		parkerchavez1976	Quechua
2265		ɲ u q a n ts i k	7301	we (inclusive)	Yanac	ñuqa.n.tsik	ɲ u q a n ts i k		heggarty2005	Quechua
2266		r i k u + n i	5335 0	see, to	Anonimo	ricuni	r i k u + n i		valera1586	Quechua
2267		k a w a + n i	5336 0	see, to	Anonimo	cahuani	k a w a + n i		valera1586	Quechua
2268		q a w a	5336	see, to	Apuri	qawa-	q a w a		shimelman2017	Quechua
2269		ɾ i k a	5335	see, to	Apuri	rika-	ɾ i k a		shimelman2017	Quechua
2270		q a w a	5336	see, to	Apurimac	qawa	q a w a		camacho2007	Quechua
2271		r i k u	5335	see, to	Apurimac	riku	r i k u		camacho2007	Quechua
2272		χ a w a	5336	see, to	Arma	qawa	χ a w a		galvez2003	Quechua
2273		ɾ i k u	5335	see, to	Arma	riku	ɾ i k u		galvez2003	Quechua
2274		r i k u	5335	see, to	Atalla	ri.ku.	r i k u		heggarty2005	Quechua
2275		χ a w a	5336	see, to	Ayacucho	qawa	χ a w a		soto1976	Quechua
2276		ɾ i k u	5335	see, to	Ayacucho	riku	ɾ i k u		soto1976	Quechua
2277		r i k u + n a	5335 0	see, to	Bobonaza	ricuna	r i k u + n a		orrwrisley1981	Quechua
2278		q a w a	5336	see, to	Cacra-Hongos	qawa-	q a w a		shimelman2017	Quechua
2279		l i k a	5335	see, to	Cacra-Hongos	rika-	l i k a		shimelman2017	Quechua
2280		k a w a	5336	see, to	Chachapoyas	kawa	k a w a		taylor2006	Quechua
2281		r i k u	5335	see, to	Chachapoyas	riku	r i k u		taylor2006	Quechua
2282		r i k a	5335	see, to	Chacpar	ri.ka.	r i k a		heggarty2005	Quechua
2283		r i k a	5335	see, to	Chetilla	ri.ka.	r i k a		heggarty2005	Quechua
2284		tʃ e r z	275	see, to	Chipaya	cher.z	tʃ e r z		heggarty2005	Uru-Chipaya
2285		r i k u	5335	see, to	Curva	ri.ku.	r i k u		heggarty2005	Quechua
2286		r i k u	5335	see, to	Cuzco	ri.ku.	r i k u		heggarty2005	Quechua
2287		r i k u + n i	5335 0	see, to	CuzquenoAntiguo	ricuni	r i k u + n i		holguin1608	Quechua
2288		k a w a + n i	5336 0	see, to	CuzquenoAntiguo	cahuani	k a w a + n i		holguin1608	Quechua
2289		r i k a	5335	see, to	Huallaga	ri.ka.	r i k a		heggarty2005	Quechua
2290		l i k a	5335	see, to	Huanca	likay	l i k a		cerron2018	Quechua
2293		u ɲ	5339	see, to	Huancane	uñ	u ɲ		heggarty2005	Aymara
2294		q a w a	5336	see, to	Huangascar	qawa-	q a w a		shimelman2017	Quechua
2295		ɾ i k a	5335	see, to	Huangascar	rika-	ɾ i k a		shimelman2017	Quechua
2296		ɾ i k a	5335	see, to	HuarazHuailas	rikay	ɾ i k a		parkerchavez1976	Quechua
2297		ɾ i k u + n a	5335 0	see, to	Imbabura	rikuna	ɾ i k u + n a		gomez2009	Quechua
2298		r i k a	5335	see, to	Inkawasi	ri.ka.	r i k a		heggarty2005	Quechua
2299		i ʎ a	5340	see, to	Jaqaru	iλa.	i ʎ a		heggarty2005	Aymara
2300		i ʎ a	5340	see, to	Kawki	iλa.	i ʎ a		heggarty2005	Aymara
2301		k a w a	5336	see, to	Lamas	kawa	k a w a		taylor2006	Quechua
2302		r i k u	5335	see, to	Lamas	riku	r i k u		taylor2006	Quechua
2303		r i k a	5335	see, to	Laraos	ri.ka.	r i k a		heggarty2005	Quechua
2304		q a w a	5336	see, to	Lincha-Tana	qawa-	q a w a		shimelman2017	Quechua
2305		l i k a	5335	see, to	Lincha-Tana	rika-	l i k a		shimelman2017	Quechua
2306		r i k u	5335	see, to	Maragua	ri.ku.	r i k u		heggarty2005	Quechua
2307		r i k u + n a	5335 0	see, to	Napo	ricuna	r i k u + n a		orrwrisley1981	Quechua
2308		ɾ i k a	5335	see, to	Pacaraos	rika	ɾ i k a		adelaar1982	Quechua
2309		ɾ i k u + n a	5335 0	see, to	Pastaza	ɾicuna	ɾ i k u + n a		landerman1973	Quechua
2310		r i k u	5335	see, to	Pocona	ri.ku.	r i k u		heggarty2005	Quechua
2311		i ɲ a	5340	see, to	Puki	iña	i ɲ a		heggarty2005	Aymara
2312		r i k u	5335	see, to	Puno	ri.ku.	r i k u		heggarty2005	Quechua
2313		k a w a	5336	see, to	Putumayo	cahua	k a w a		tandioy1978	Quechua
2314		ɾ i k a	5335	see, to	Raimondi	rikay	ɾ i k a		parkerchavez1976	Quechua
2315		q a w a	5336	see, to	SanPedro	qawa-	q a w a		shimelman2017	Quechua
2316		ɾ i k a	5335	see, to	SanPedro	rika-	ɾ i k a		shimelman2017	Quechua
2317		q aː - -	5336	see, to	Santiagueno	qaay	q aː		juanatey2021	Quechua
2318		r i k u + n i	5335 0	see, to	SantoTomas	ricuni	r i k u + n i		santotomas1951	Quechua
2319		k a w a + n i	5336 0	see, to	SantoTomas	cauani	k a w a + n i		santotomas1951	Quechua
2320		r i k u	5335	see, to	Serena	ri.ku.	r i k u		heggarty2005	Quechua
2321		u ɲ	5339	see, to	Sullkatiti	uñ	u ɲ		heggarty2005	Aymara
2322		r i k u	5335	see, to	Taquile	ri.ku.	r i k u		heggarty2005	Quechua
2323		ʐ i g a	5335	see, to	Tarma	riga	ʐ i g a		adelaar1977	Quechua
2324		r̝ i k u	5335	see, to	Troje	ři.ku.	r̝ i k u		heggarty2005	Quechua
2325		ɾ i k a	5335	see, to	Wari	rikay	ɾ i k a		parkerchavez1976	Quechua
2326		r i k a	5335	see, to	Yanac	ri.ka.	r i k a		heggarty2005	Quechua
2327		u j a + r i + n i	2819 0 0	hear, to	Anonimo	vyarini	u j a + r i + n i		valera1586	Quechua
2329		u j a + ɾ i	2819 0	hear, to	Apuri	uyari	u j a + ɾ i		shimelman2017	Quechua
2330		u j a + r i	2819 0	hear, to	Atalla	uya.ri.	u j a + r i		heggarty2005	Quechua
2331		u j a + ɾ i	2819 0	hear, to	Ayacucho	uyari	u j a + ɾ i		soto1976	Quechua
2332		u j a + n a	2819 0	hear, to	Bobonaza	uyana	u j a + n a		orrwrisley1981	Quechua
2333		u j a + l i	2819 0	hear, to	Cacra-Hongos	uyari	u j a + l i		shimelman2017	Quechua
2334		w i j a + r i	139 0	hear, to	Chachapoyas	wiyari	w i j a + r i		taylor2006	Quechua
2335		w i j a	139	hear, to	Chacpar	wiya.	w i j a		heggarty2005	Quechua
2336		u j a	2819	hear, to	Chetilla	uya.	u j a		heggarty2005	Quechua
2337		n o n z	2821	hear, to	Chipaya	non.z	n o n z		heggarty2005	Uru-Chipaya
2338		u j a + ɾ i	2819 0	hear, to	Curva	uya.ri.	u j a + ɾ i		heggarty2005	Quechua
2339		u j a + ɾ i	2819 0	hear, to	Cuzco	uya.ri.	u j a + ɾ i		heggarty2005	Quechua
2340		u j a + r i + n i	2819 0 0	hear, to	CuzquenoAntiguo	vyarini	u j a + r i + n i		holguin1608	Quechua
2341		w i j a	139	hear, to	Huallaga	wiya.	w i j a		heggarty2005	Quechua
2342		u j a + l i	2819 0	hear, to	Huanca	uyaliy	u j a + l i		cerron2018	Quechua
2343		i s - + tʼ a	2822 0	hear, to	Huancane	is.t'a.	i s + tʼ a		heggarty2005	Aymara
2344		u j a + ɾ i	2819 0	hear, to	Huangascar	uyari	u j a + ɾ i		shimelman2017	Quechua
2345		w i j a	139	hear, to	HuarazHuailas	wiyay	w i j a		parkerchavez1976	Quechua
2346		u j a + n a	2819 0	hear, to	Imbabura	uyana	u j a + n a		gomez2009	Quechua
2347		u j a	2819	hear, to	Inkawasi	uya.	u j a		heggarty2005	Quechua
2348		i ʃ a + p a	2822 0	hear, to	Jaqaru	iša.pa.	i ʃ a + p a		heggarty2005	Aymara
2349		i ʃ p a	2822	hear, to	Kawki	iš.pa.	i ʃ p a		heggarty2005	Aymara
2350		u j a + r i	2819 0	hear, to	Lamas	uyari	u j a + r i		taylor2006	Quechua
2351		u j a + ɾ i	2819 0	hear, to	Laraos	uya.ri.	u j a + ɾ i		heggarty2005	Quechua
2352		u j a + ɾ i	2819 0	hear, to	Lincha-Tana	uyari	u j a + ɾ i		shimelman2017	Quechua
2353		u j a + ɾ i	2819 0	hear, to	Maragua	uya.ri.	u j a + ɾ i		heggarty2005	Quechua
2354		u j a + n a	2819 0	hear, to	Napo	uyana	u j a + n a		orrwrisley1981	Quechua
2355		u j a	2819	hear, to	Pacaraos	uya	u j a		adelaar1982	Quechua
2356		u j a + n a	2819 0	hear, to	Pastaza	uyana	u j a + n a		landerman1973	Quechua
2357		u j a + ɾ i	2819 0	hear, to	Pocona	uya.ri.	u j a + ɾ i		heggarty2005	Quechua
2358		i s tʼ a	2822	hear, to	Puki	is.t'a.	i s tʼ a		heggarty2005	Aymara
2359		u j a + ɾ i	2819 0	hear, to	Puno	uya.ri.	u j a + ɾ i		heggarty2005	Quechua
2360		u j a	2819	hear, to	Putumayo	uya	u j a		tandioy1978	Quechua
2361		w i j a	139	hear, to	Raimondi	wiyay	w i j a		parkerchavez1976	Quechua
2362		u j a + ɾ i	2819 0	hear, to	SanPedro	uyari	u j a + ɾ i		shimelman2017	Quechua
2363		u j a + ɾ iː	2819 0	hear, to	Santiagueno	uyariy	u j a + ɾ iː		juanatey2021	Quechua
2364		o j a	2819	hear, to	SantoTomas	oya	o j a		santotomas1951	Quechua
2365		u j a	2819	hear, to	Serena	uya.	u j a		heggarty2005	Quechua
2366		i s tʼ a	2822	hear, to	Sullkatiti	is.t'a.	i s tʼ a		heggarty2005	Aymara
2367		u j a + ɾ i	2819 0	hear, to	Taquile	uya.ri.	u j a + ɾ i		heggarty2005	Quechua
2368		u j a	2819	hear, to	Tarma	uya	u j a		adelaar1977	Quechua
2369		u j a	2819	hear, to	Troje	uya.	u j a		heggarty2005	Quechua
2370		w i j a	139	hear, to	Wari	wiyay	w i j a		parkerchavez1976	Quechua
2371		w i j a	139	hear, to	Yanac	wiya.	w i j a		heggarty2005	Quechua
2372		j a tʃ a + n i	3326 0	know, to	Anonimo	yachani	j a tʃ a + n i		valera1586	Quechua
2373		j a ʈ a	3326	know, to	Apuri	yatra-	j a ʈ a		shimelman2017	Quechua
2374		j a tʃ a	3326	know, to	Apurimac	yacha	j a tʃ a		camacho2007	Quechua
2375		j a tʃ a	3326	know, to	Arma	yacha	j a tʃ a		galvez2003	Quechua
2376		j a tʃ a	3326	know, to	Atalla	yača.	j a tʃ a		heggarty2005	Quechua
2377		j a tʃ a	3326	know, to	Ayacucho	yacha	j a tʃ a		soto1976	Quechua
2378		j a tʃ a + n a	3326 0	know, to	Bobonaza	yachana	j a tʃ a + n a		orrwrisley1981	Quechua
2379		j a ʈ a	3326	know, to	Cacra-Hongos	yatra-	j a ʈ a		shimelman2017	Quechua
2380		j a ʈʂ a	3326	know, to	Chachapoyas	yaĉa	j a ʈʂ a		taylor2006	Quechua
2381		j a tʃ a	3326	know, to	Chacpar	yača.	j a tʃ a		heggarty2005	Quechua
2382		j a ʈʂ a	3326	know, to	Chetilla	yaĉa.	j a ʈʂ a		heggarty2005	Quechua
2383		z i z	3327	know, to	Chipaya	zi.z	z i z		heggarty2005	Uru-Chipaya
2384		j a tʃ a	3326	know, to	Curva	yača.	j a tʃ a		heggarty2005	Quechua
2385		j a tʃ a	3326	know, to	Cuzco	yača.	j a tʃ a		heggarty2005	Quechua
2386		j a tʃ a + n i	3326 0	know, to	CuzquenoAntiguo	yachani	j a tʃ a + n i		holguin1608	Quechua
2387		j a tʃ a	3326	know, to	Huallaga	yača.	j a tʃ a		heggarty2005	Quechua
2388		j a ʈʂ a	3326	know, to	Huanca	yatray	j a ʈʂ a		cerron2018	Quechua
2390		j a t - i	277	know, to	Huancane	yati.	j a t i		heggarty2005	Aymara
2391		j a ʈ a	3326	know, to	Huangascar	yatra-	j a ʈ a		shimelman2017	Quechua
2392		j a tʃ a	3326	know, to	HuarazHuailas	yachay	j a tʃ a		parkerchavez1976	Quechua
2393		j a tʃ a + n a	3326 0	know, to	Imbabura	yachana	j a tʃ a + n a		gomez2009	Quechua
2394		j a ʈʂ a	3326	know, to	Inkawasi	yaĉa.	j a ʈʂ a		heggarty2005	Quechua
2395		j a t j i	277	know, to	Jaqaru	yatyi.	j a t j i		heggarty2005	Aymara
2396		j a t j i	277	know, to	Kawki	yatyi.	j a t j i		heggarty2005	Aymara
2397		j a tʃ a	3326	know, to	Lamas	yacha	j a tʃ a		taylor2006	Quechua
2398		j a ʈʂ a	3326	know, to	Laraos	yaĉa.	j a ʈʂ a		heggarty2005	Quechua
2399		j a ʈ a	3326	know, to	Lincha-Tana	yatra-	j a ʈ a		shimelman2017	Quechua
2400		j a tʃ a	3326	know, to	Maragua	yača.	j a tʃ a		heggarty2005	Quechua
2401		j a tʃ a + n a	3326 0	know, to	Napo	yachana	j a tʃ a + n a		orrwrisley1981	Quechua
2402		j a ʈʂ a	3326	know, to	Pacaraos	yatra	j a ʈʂ a		adelaar1982	Quechua
2404		j a tʃ a + n a	3326 0	know, to	Pastaza	yachana	j a tʃ a + n a		landerman1973	Quechua
2405		j a tʃ a	3326	know, to	Pocona	yača.	j a tʃ a		heggarty2005	Quechua
2406		j a t - i	277	know, to	Puki	yati.	j a t i		heggarty2005	Aymara
2407		j a tʃ a	3326	know, to	Puno	yača.	j a tʃ a		heggarty2005	Quechua
2408		j a tʃ a	3326	know, to	Putumayo	yacha	j a tʃ a		tandioy1978	Quechua
2409		j a tʃ a	3326	know, to	Raimondi	yachay	j a tʃ a		parkerchavez1976	Quechua
2410		j a ʈ a	3326	know, to	SanPedro	yatra-	j a ʈ a		shimelman2017	Quechua
2411		j a tʃ a	3326	know, to	Santiagueno	yachay	j a tʃ a		juanatey2021	Quechua
2412		j a tʃ a + n i	3326 0	know, to	SantoTomas	yachani	j a tʃ a + n i		santotomas1951	Quechua
2413		j a tʃ a	3326	know, to	Serena	yača.	j a tʃ a		heggarty2005	Quechua
2414		j a t - i	277	know, to	Sullkatiti	yati.	j a t i		heggarty2005	Aymara
2415		j a tʃ a	3326	know, to	Taquile	yača.	j a tʃ a		heggarty2005	Quechua
2416		j a ʈʂ a	3326	know, to	Tarma	yaĉa	j a ʈʂ a		adelaar1977	Quechua
2417		j a tʃ a	3326	know, to	Troje	yača.	j a tʃ a		heggarty2005	Quechua
2418		j a tʃ a	3326	know, to	Wari	yachay	j a tʃ a		parkerchavez1976	Quechua
2419		j a ʈʂ a	3326	know, to	Yanac	yaĉa.	j a ʈʂ a		heggarty2005	Quechua
2420		j u j a + n i	6655 0	think (over, about), to	Anonimo	yuyani	j u j a + n i		valera1586	Quechua
2421		j u j a	6655	think (over, about), to	Apurimac	yuya	j u j a		camacho2007	Quechua
2422		j u j a	6655	think (over, about), to	Arma	yuya	j u j a		galvez2003	Quechua
2423		j u j a	6655	think (over, about), to	Atalla	yuya.	j u j a		heggarty2005	Quechua
2424		j u j a	6655	think (over, about), to	Ayacucho	yuya	j u j a		soto1976	Quechua
2425		j u j a + n a	6655 0	think (over, about), to	Bobonaza	yuyana	j u j a + n a		orrwrisley1981	Quechua
2426		j u j a	6655	think (over, about), to	Chachapoyas	yuya	j u j a		taylor2006	Quechua
2427		j a r p a	6656	think (over, about), to	Chacpar	yarpa.	j a r p a		heggarty2005	Quechua
2428		j u j a	6655	think (over, about), to	Chetilla	yuya.	j u j a		heggarty2005	Quechua
2429		l a pʼ i z i z	6657	think (over, about), to	Chipaya	lap'i.zí.z	l a pʼ i z i z		heggarty2005	Uru-Chipaya
2430		j a r p a	6656	think (over, about), to	Curva	yarpa.	j a r p a		heggarty2005	Quechua
2431		j u j a	6655	think (over, about), to	Cuzco	yuya.	j u j a		heggarty2005	Quechua
2432		j u j a + n i	6655 0	think (over, about), to	CuzquenoAntiguo	yuyani	j u j a + n i		holguin1608	Quechua
2433		j a r p a	6656	think (over, about), to	Huallaga	yarpa.	j a r p a		heggarty2005	Quechua
2434		j ai n i + tʃ a + k u	233 0 0	think (over, about), to	Huanca	yaynitʃakuy	j ai n i + tʃ a + k u		cerron2018	Quechua
2435		j ai n i + k a + ʈʂ a	233 0 0	think (over, about), to	Huanca	yaynikatray	j ai n i + k a + ʈʂ a		cerron2018	Quechua
2436		( - ) u m a + tʃ a + k u	2769 0 0	think (over, about), to	Huanca	umatʃakuy	u m a + tʃ a + k u		cerron2018	Quechua
2437		a m ui + tʼ a	6654 0	think (over, about), to	Huancane	amuy.t'a.	a m ui + tʼ a		heggarty2005	Aymara
2438		j a ɾ p a	6656	think (over, about), to	HuarazHuailas	yarpay	j a ɾ p a		parkerchavez1976	Quechua
2439		j u j a + n a	6655 0	think (over, about), to	Imbabura	yuyana	j u j a + n a		gomez2009	Quechua
2440		j a r p a	6656	think (over, about), to	Inkawasi	yarbu.	j a r p a		heggarty2005	Quechua
2441		j u j a	292	think (over, about), to	Jaqaru	yuya.	j u j a		heggarty2005	Aymara
2442		j u j a	292	think (over, about), to	Kawki	yuya.	j u j a		heggarty2005	Aymara
2443		j u j a	6655	think (over, about), to	Lamas	yuya	j u j a		taylor2006	Quechua
2444		j a r p a	6656	think (over, about), to	Laraos	yarpa.	j a r p a		heggarty2005	Quechua
2445		tʼ u k u	6660	think (over, about), to	Maragua	t'uku.	tʼ u k u		heggarty2005	Quechua
2446		j u j a + n a	6655 0	think (over, about), to	Napo	yuyana	j u j a + n a		orrwrisley1981	Quechua
2447		j a ɾ p a	6656	think (over, about), to	Pacaraos	yarpa	j a ɾ p a		adelaar1982	Quechua
2448		j u j a + r i + n a	6655 0 0	think (over, about), to	Pastaza	yuyarina	j u j a + r i + n a		landerman1973	Quechua
2449		tʼ u k u	6660	think (over, about), to	Pocona	t'uku.	tʼ u k u		heggarty2005	Quechua
2450		a m ui + tʼ a	6654 0	think (over, about), to	Puki	amuy.t'a.	a m ui + tʼ a		heggarty2005	Aymara
2451		j u j a	6655	think (over, about), to	Puno	yuya.	j u j a		heggarty2005	Quechua
2452		j u j a	6655	think (over, about), to	Putumayo	yuya	j u j a		tandioy1978	Quechua
2453		j a ɾ p a	6656	think (over, about), to	Raimondi	yarpay	j a ɾ p a		parkerchavez1976	Quechua
2454		j a tʃ a	3326	think (over, about), to	Santiagueno	yachay	j a tʃ a		juanatey2021	Quechua
2455		j u j a + n i	6655 0	think (over, about), to	SantoTomas	yuyani	j u j a + n i		santotomas1951	Quechua
2456		j u j a	6655	think (over, about), to	Serena	yuya.	j u j a		heggarty2005	Quechua
2457		a m ui + tʼ a	6654 0	think (over, about), to	Sullkatiti	amuy.t'a.	a m ui + tʼ a		heggarty2005	Aymara
2458		j u j a	6655	think (over, about), to	Taquile	yuya.	j u j a		heggarty2005	Quechua
2459		j a ɾ b a	6656	think (over, about), to	Tarma	yarba	j a ɾ b a		adelaar1977	Quechua
2460		j u j a	6655	think (over, about), to	Troje	yuya.	j u j a		heggarty2005	Quechua
2461		j a ɾ p a	6656	think (over, about), to	Wari	yarpay	j a ɾ p a		parkerchavez1976	Quechua
2462		j a r p a	6656	think (over, about), to	Yanac	yarpa.	j a r p a		heggarty2005	Quechua
2463		r i m a + n i	6056 0	speak, to	Anonimo	rimani rimarini	r i m a + n i		valera1586	Quechua
2464		ɾ i m a	6056	speak, to	Apuri	rima-	ɾ i m a		shimelman2017	Quechua
2465		p a r l a	6058	speak, to	Apurimac	parla	p a r l a	esp	camacho2007	Quechua
2466		r i m a	6056	speak, to	Apurimac	rima	r i m a		camacho2007	Quechua
2467		ɾ i m a	6056	speak, to	Arma	rima	ɾ i m a		galvez2003	Quechua
2468		p a r l a	6058	speak, to	Atalla	parla.	p a r l a	esp	heggarty2005	Quechua
2469		ɾ i m a	6056	speak, to	Ayacucho	rima	ɾ i m a		soto1976	Quechua
2470		r i m a + n a	6056 0	speak, to	Bobonaza	rimana	r i m a + n a		orrwrisley1981	Quechua
2471		l i m a	6056	speak, to	Cacra-Hongos	rima-	l i m a		shimelman2017	Quechua
2472		r i m a	6056	speak, to	Chachapoyas	rima	r i m a		taylor2006	Quechua
2473		p a r l a	6058	speak, to	Chacpar	parla.	p a r l a	esp	heggarty2005	Quechua
2474		r i m a	6056	speak, to	Chetilla	rima.	r i m a		heggarty2005	Quechua
2475		tʃ h i j z	6059	speak, to	Chipaya	chhiy.z	tʃ h i j z		heggarty2005	Uru-Chipaya
2476		r i m a	6056	speak, to	Curva	rima.	r i m a		heggarty2005	Quechua
2477		r i m a	6056	speak, to	Cuzco	rima.	r i m a		heggarty2005	Quechua
2478		r i m a + n i	6056 0	speak, to	CuzquenoAntiguo	rimani	r i m a + n i		holguin1608	Quechua
2479		p a r l a	6058	speak, to	Huallaga	parla.	p a r l a	esp	heggarty2005	Quechua
2480		l i m a	6056	speak, to	Huanca	limay	l i m a		cerron2018	Quechua
2481		p a - l a	293	speak, to	Huancane	pala.	p a l a		heggarty2005	Aymara
2482		ɾ i m a	6056	speak, to	Huangascar	rima-	ɾ i m a		shimelman2017	Quechua
2483		p a ɾ l a	6058	speak, to	HuarazHuailas	parlay	p a ɾ l a	esp	parkerchavez1976	Quechua
2484		ɾ i m a + n a	6056 0	speak, to	Imbabura	rimana	ɾ i m a + n a		gomez2009	Quechua
2485		r i m a	6056	speak, to	Inkawasi	rima.	r i m a		heggarty2005	Quechua
2486		a r u	6061	speak, to	Jaqaru	aru.	a r u		heggarty2005	Aymara
2487		a r u	6061	speak, to	Kawki	aru.	a r u		heggarty2005	Aymara
2488		r i m a	6056	speak, to	Lamas	rima	r i m a		taylor2006	Quechua
2489		r i m a	6056	speak, to	Laraos	rima.	r i m a		heggarty2005	Quechua
2490		l i m a	6056	speak, to	Lincha-Tana	rima-	l i m a		shimelman2017	Quechua
2491		p a r l a	6058	speak, to	Maragua	parla.	p a r l a	esp	heggarty2005	Quechua
2492		r i m a + n a	6056 0	speak, to	Napo	rimana	r i m a + n a		orrwrisley1981	Quechua
2493		p a ɾ l a	6058	speak, to	Pacaraos	parla	p a ɾ l a	esp	adelaar1982	Quechua
2494		p a r l a + n a	6058 0	speak, to	Pastaza	parlana	p a r l a + n a	esp	landerman1973	Quechua
2495		ɾ i m a + n a	6056 0	speak, to	Pastaza	rimana	ɾ i m a + n a		landerman1973	Quechua
2496		p a r l a	6058	speak, to	Pocona	parla.	p a r l a	esp	heggarty2005	Quechua
2497		p a r l a	293	speak, to	Puki	parla.	p a r l a		heggarty2005	Aymara
2498		r i m a	6056	speak, to	Puno	rima.	r i m a		heggarty2005	Quechua
2499		r i m a	6056	speak, to	Putumayo	rima	r i m a		tandioy1978	Quechua
2500		p a ɾ l a	6058	speak, to	Raimondi	parlay	p a ɾ l a	esp	parkerchavez1976	Quechua
2501		ɾ i m a	6056	speak, to	SanPedro	rima-	ɾ i m a		shimelman2017	Quechua
2502		ɾ i m a	6056	speak, to	Santiagueno	rimay	ɾ i m a		juanatey2021	Quechua
2503		r i m a + n i	6056 0	speak, to	SantoTomas	rimani	r i m a + n i		santotomas1951	Quechua
2504		r i m a	6056	speak, to	Serena	rima.	r i m a		heggarty2005	Quechua
2505		p a r l a	293	speak, to	Sullkatiti	parla.	p a r l a		heggarty2005	Aymara
2506		r i m a	6056	speak, to	Taquile	rima.	r i m a		heggarty2005	Quechua
2507		ʐ i m a	6056	speak, to	Tarma	rima	ʐ i m a		adelaar1977	Quechua
2508		r̝ i m a	6056	speak, to	Troje	řima.	r̝ i m a		heggarty2005	Quechua
2509		p a ɾ l a	6058	speak, to	Wari	parlay	p a ɾ l a	esp	parkerchavez1976	Quechua
2510		p a r l a	6058	speak, to	Yanac	parla.	p a r l a	esp	heggarty2005	Quechua
2511		a s i + n i	3376 0	laugh, to	Anonimo	acini	a s i + n i		valera1586	Quechua
2512		a s i + k u + n i	3376 0 0	laugh, to	Anonimo	acicuni	a s i + k u + n i		valera1586	Quechua
2513		a s i	3376	laugh, to	Apuri	asi-	a s i		shimelman2017	Quechua
2514		a s i	3376	laugh, to	Apurimac	asi	a s i		camacho2007	Quechua
2515		a s i	3376	laugh, to	Arma	asi	a s i		galvez2003	Quechua
2516		a s i	3376	laugh, to	Atalla	asi.	a s i		heggarty2005	Quechua
2517		a s i	3376	laugh, to	Ayacucho	asi	a s i		soto1976	Quechua
2518		a s i + n a	3376 0	laugh, to	Bobonaza	asina	a s i + n a		orrwrisley1981	Quechua
2519		a s i	3376	laugh, to	Cacra-Hongos	asi-	a s i		shimelman2017	Quechua
2520		a s i	3376	laugh, to	Chachapoyas	asi	a s i		taylor2006	Quechua
2521		a s i	3376	laugh, to	Chacpar	asi.	a s i		heggarty2005	Quechua
2522		a s i	3376	laugh, to	Chetilla	asi.	a s i		heggarty2005	Quechua
2523		tʰ a z z	234	laugh, to	Chipaya	thaz.z	tʰ a z z		heggarty2005	Uru-Chipaya
2524		a s i	3376	laugh, to	Curva	asi.	a s i		heggarty2005	Quechua
2525		a s i	3376	laugh, to	Cuzco	asi.	a s i		heggarty2005	Quechua
2526		a s i + n i	3376 0	laugh, to	CuzquenoAntiguo	acini	a s i + n i		holguin1608	Quechua
2527		a s i	3376	laugh, to	Huallaga	asi.	a s i		heggarty2005	Quechua
2528		a s i	3376	laugh, to	Huanca	asiy	a s i		cerron1976	Quechua
2529		a s i	3376	laugh, to	Jauja	asiy	a s i		cerron1976	Quechua
2530		l a r u	3378	laugh, to	Huancane	laru.	l a r u		heggarty2005	Aymara
2531		a s i	3376	laugh, to	Huangascar	asi-	a s i		shimelman2017	Quechua
2532		a s i	3376	laugh, to	HuarazHuailas	asiy	a s i		parkerchavez1976	Quechua
2533		a s i + n a	3376 0	laugh, to	Imbabura	asina	a s i + n a		gomez2009	Quechua
2534		a s i	3376	laugh, to	Inkawasi	asi.	a s i		heggarty2005	Quechua
2535		n a r u	3378	laugh, to	Jaqaru	naru.	n a r u		heggarty2005	Aymara
2536		n a r u	3378	laugh, to	Kawki	naru.	n a r u		heggarty2005	Aymara
2537		a s i	3376	laugh, to	Lamas	asi	a s i		taylor2006	Quechua
2538		a s i	3376	laugh, to	Laraos	asi.	a s i		heggarty2005	Quechua
2539		a s i	3376	laugh, to	Lincha-Tana	asi-	a s i		shimelman2017	Quechua
2540		a s i	3376	laugh, to	Maragua	asi.	a s i		heggarty2005	Quechua
2541		a s i + n a	3376 0	laugh, to	Napo	asina	a s i + n a		orrwrisley1981	Quechua
2542		a j i	3376	laugh, to	Pacaraos	ayi	a j i		adelaar1982	Quechua
2543		a s i + n a	3376 0	laugh, to	Pastaza	asina	a s i + n a		landerman1973	Quechua
2544		a s i	3376	laugh, to	Pocona	asi.	a s i		heggarty2005	Quechua
2545		l a r u	3378	laugh, to	Puki	laru.	l a r u		heggarty2005	Aymara
2546		a s i	3376	laugh, to	Puno	asi.	a s i		heggarty2005	Quechua
2547		a s i	3376	laugh, to	Putumayo	asi	a s i		tandioy1978	Quechua
2548		a s i	3376	laugh, to	Raimondi	asiy	a s i		parkerchavez1976	Quechua
2549		a s i	3376	laugh, to	SanPedro	asi-	a s i		shimelman2017	Quechua
2550		a s iː	3376	laugh, to	Santiagueno	asiy	a s iː		juanatey2021	Quechua
